"","age","job","marital","housing","contact","month","day_of_week","campaign","pdays","previous","poutcome","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
"1",30,"blue-collar","married","yes","cellular","may","fri",2,999,0,"nonexistent",92.893,-46.2,1.313,5099.1,"no"
"2",39,"services","single","no","telephone","may","fri",4,999,0,"nonexistent",93.994,-36.4,4.855,5191,"no"
"3",25,"services","married","yes","telephone","jun","wed",1,999,0,"nonexistent",94.465,-41.8,4.962,5228.1,"no"
"4",38,"services","married","unknown","telephone","jun","fri",3,999,0,"nonexistent",94.465,-41.8,4.959,5228.1,"no"
"5",47,"admin.","married","yes","cellular","nov","mon",1,999,0,"nonexistent",93.2,-42,4.191,5195.8,"no"
"6",32,"services","single","no","cellular","sep","thu",3,999,2,"failure",94.199,-37.5,0.884,4963.6,"no"
"7",32,"admin.","single","yes","cellular","sep","mon",4,999,0,"nonexistent",94.199,-37.5,0.879,4963.6,"no"
"8",41,"entrepreneur","married","yes","cellular","nov","mon",2,999,0,"nonexistent",93.2,-42,4.191,5195.8,"no"
"9",31,"services","divorced","no","cellular","nov","tue",1,999,1,"failure",93.2,-42,4.153,5195.8,"no"
"10",35,"blue-collar","married","no","telephone","may","thu",1,999,0,"nonexistent",93.994,-36.4,4.855,5191,"no"
"11",25,"services","single","yes","cellular","jul","thu",1,999,0,"nonexistent",93.918,-42.7,4.958,5228.1,"no"
"12",36,"self-employed","single","no","cellular","jul","thu",1,999,0,"nonexistent",93.918,-42.7,4.968,5228.1,"no"
"13",36,"admin.","married","no","telephone","may","wed",2,999,0,"nonexistent",93.994,-36.4,4.859,5191,"no"
"14",47,"blue-collar","married","yes","telephone","jun","thu",2,999,0,"nonexistent",94.465,-41.8,4.958,5228.1,"no"
"15",29,"admin.","single","no","cellular","may","fri",2,999,0,"nonexistent",92.893,-46.2,1.313,5099.1,"no"
"16",27,"services","single","no","cellular","jul","wed",2,999,0,"nonexistent",93.918,-42.7,4.963,5228.1,"no"
"17",44,"admin.","divorced","no","cellular","jul","wed",6,999,0,"nonexistent",93.918,-42.7,4.957,5228.1,"no"
"18",46,"admin.","divorced","yes","telephone","jul","mon",4,999,0,"nonexistent",93.918,-42.7,4.962,5228.1,"no"
"19",45,"entrepreneur","married","yes","cellular","aug","mon",2,999,0,"nonexistent",93.444,-36.1,4.965,5228.1,"no"
"20",50,"blue-collar","married","no","cellular","jul","tue",1,999,0,"nonexistent",93.918,-42.7,4.961,5228.1,"yes"
"21",55,"services","married","yes","cellular","jul","tue",6,999,0,"nonexistent",93.918,-42.7,4.962,5228.1,"no"
"22",39,"technician","divorced","no","cellular","mar","mon",1,12,2,"success",93.369,-34.8,0.639,5008.7,"yes"
"23",29,"technician","single","yes","cellular","aug","wed",3,999,0,"nonexistent",93.444,-36.1,4.967,5228.1,"no"
"24",40,"management","married","no","cellular","aug","wed",1,999,0,"nonexistent",93.444,-36.1,4.965,5228.1,"no"
"25",44,"technician","married","yes","telephone","may","fri",7,999,0,"nonexistent",93.994,-36.4,4.864,5191,"no"
"26",38,"technician","married","yes","cellular","aug","mon",1,999,0,"nonexistent",93.444,-36.1,4.965,5228.1,"yes"
"27",36,"technician","divorced","no","telephone","may","wed",1,999,0,"nonexistent",93.994,-36.4,4.856,5191,"no"
"28",28,"blue-collar","married","no","cellular","may","mon",2,999,1,"failure",92.893,-46.2,1.299,5099.1,"no"
"29",47,"admin.","single","no","telephone","may","thu",1,999,0,"nonexistent",93.994,-36.4,4.86,5191,"no"
"30",34,"admin.","married","no","cellular","aug","tue",1,999,0,"nonexistent",93.444,-36.1,4.963,5228.1,"no"
"31",38,"technician","married","yes","cellular","mar","tue",1,999,1,"failure",92.843,-50,1.687,5099.1,"no"
"32",33,"services","married","yes","telephone","jun","mon",3,999,0,"nonexistent",94.465,-41.8,4.865,5228.1,"no"
"33",51,"technician","single","no","cellular","jun","fri",2,999,0,"nonexistent",92.963,-40.8,1.268,5076.2,"no"
"34",30,"blue-collar","single","yes","telephone","jun","tue",1,999,0,"nonexistent",94.465,-41.8,4.864,5228.1,"no"
"35",48,"technician","married","no","cellular","aug","thu",7,999,0,"nonexistent",93.444,-36.1,4.962,5228.1,"no"
"36",28,"blue-collar","single","yes","telephone","jun","wed",1,999,0,"nonexistent",94.465,-41.8,4.864,5228.1,"no"
"37",36,"blue-collar","married","yes","telephone","may","wed",1,999,0,"nonexistent",93.994,-36.4,4.859,5191,"no"
"38",46,"management","divorced","no","cellular","nov","wed",1,999,0,"nonexistent",93.2,-42,4.12,5195.8,"no"
"39",31,"technician","single","yes","cellular","may","wed",1,999,1,"failure",92.893,-46.2,1.334,5099.1,"no"
"40",20,"student","single","no","cellular","oct","mon",3,999,3,"failure",94.601,-49.5,0.977,4963.6,"no"
"41",35,"services","married","yes","cellular","may","tue",1,999,0,"nonexistent",92.893,-46.2,1.344,5099.1,"no"
