"","age","job","marital","housing","contact","month","day_of_week","campaign","pdays","previous","poutcome","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
"1",30,2,2,3,1,7,1,2,999,0,2,92.893,-46.2,1.313,5099.1,0
"2",39,8,3,1,2,7,1,4,999,0,2,93.994,-36.4,4.855,5191,0
"3",25,8,2,3,2,5,5,1,999,0,2,94.465,-41.8,4.962,5228.1,0
"4",38,8,2,2,2,5,1,3,999,0,2,94.465,-41.8,4.959,5228.1,0
"5",47,1,2,3,1,8,2,1,999,0,2,93.2,-42,4.191,5195.8,0
"6",32,8,3,1,1,10,3,3,999,2,1,94.199,-37.5,0.884,4963.6,0
"7",32,1,3,3,1,10,2,4,999,0,2,94.199,-37.5,0.879,4963.6,0
"8",41,3,2,3,1,8,2,2,999,0,2,93.2,-42,4.191,5195.8,0
"9",31,8,1,1,1,8,4,1,999,1,1,93.2,-42,4.153,5195.8,0
"10",35,2,2,1,2,7,3,1,999,0,2,93.994,-36.4,4.855,5191,0
"11",25,8,3,3,1,4,3,1,999,0,2,93.918,-42.7,4.958,5228.1,0
"12",36,7,3,1,1,4,3,1,999,0,2,93.918,-42.7,4.968,5228.1,0
"13",36,1,2,1,2,7,5,2,999,0,2,93.994,-36.4,4.859,5191,0
"14",47,2,2,3,2,5,3,2,999,0,2,94.465,-41.8,4.958,5228.1,0
"15",29,1,3,1,1,7,1,2,999,0,2,92.893,-46.2,1.313,5099.1,0
"16",27,8,3,1,1,4,5,2,999,0,2,93.918,-42.7,4.963,5228.1,0
"17",44,1,1,1,1,4,5,6,999,0,2,93.918,-42.7,4.957,5228.1,0
"18",46,1,1,3,2,4,2,4,999,0,2,93.918,-42.7,4.962,5228.1,0
"19",45,3,2,3,1,2,2,2,999,0,2,93.444,-36.1,4.965,5228.1,0
"20",50,2,2,1,1,4,4,1,999,0,2,93.918,-42.7,4.961,5228.1,1
"21",55,8,2,3,1,4,4,6,999,0,2,93.918,-42.7,4.962,5228.1,0
"22",39,10,1,1,1,6,2,1,12,2,3,93.369,-34.8,0.639,5008.7,1
"23",29,10,3,3,1,2,5,3,999,0,2,93.444,-36.1,4.967,5228.1,0
"24",40,5,2,1,1,2,5,1,999,0,2,93.444,-36.1,4.965,5228.1,0
"25",44,10,2,3,2,7,1,7,999,0,2,93.994,-36.4,4.864,5191,0
"26",38,10,2,3,1,2,2,1,999,0,2,93.444,-36.1,4.965,5228.1,1
"27",36,10,1,1,2,7,5,1,999,0,2,93.994,-36.4,4.856,5191,0
"28",28,2,2,1,1,7,2,2,999,1,1,92.893,-46.2,1.299,5099.1,0
"29",47,1,3,1,2,7,3,1,999,0,2,93.994,-36.4,4.86,5191,0
"30",34,1,2,1,1,2,4,1,999,0,2,93.444,-36.1,4.963,5228.1,0
"31",38,10,2,3,1,6,4,1,999,1,1,92.843,-50,1.687,5099.1,0
"32",33,8,2,3,2,5,2,3,999,0,2,94.465,-41.8,4.865,5228.1,0
"33",51,10,3,1,1,5,1,2,999,0,2,92.963,-40.8,1.268,5076.2,0
"34",30,2,3,3,2,5,4,1,999,0,2,94.465,-41.8,4.864,5228.1,0
"35",48,10,2,1,1,2,3,7,999,0,2,93.444,-36.1,4.962,5228.1,0
"36",28,2,3,3,2,5,5,1,999,0,2,94.465,-41.8,4.864,5228.1,0
"37",36,2,2,3,2,7,5,1,999,0,2,93.994,-36.4,4.859,5191,0
"38",46,5,1,1,1,8,5,1,999,0,2,93.2,-42,4.12,5195.8,0
"39",31,10,3,3,1,7,5,1,999,1,1,92.893,-46.2,1.334,5099.1,0
"40",20,9,3,1,1,9,2,3,999,3,1,94.601,-49.5,0.977,4963.6,0
"41",35,8,2,3,1,7,4,1,999,0,2,92.893,-46.2,1.344,5099.1,0
"42",38,2,2,2,2,5,1,1,999,0,2,94.465,-41.8,4.967,5228.1,0
"43",76,6,2,1,1,2,3,1,999,1,1,94.027,-38.3,0.899,4991.6,0
"44",45,3,1,3,1,4,4,3,999,0,2,93.918,-42.7,4.961,5228.1,0
"45",32,4,2,3,1,7,1,1,999,0,2,92.893,-46.2,1.313,5099.1,0
"46",39,5,3,1,1,7,3,2,999,0,2,92.893,-46.2,1.327,5099.1,0
"47",32,1,2,1,2,8,3,1,999,0,2,93.2,-42,4.592,5195.8,0
