"","ID","EMPLOYER","VEHPERDR","VEHPERWK","COMMTIME","NORMHOUR","SPEED","OVERTIME","CSO9FT4","CSO9FT3","CSO9FT5","CSO9FT6","CSO9FT9","CSO9FT1","CSO9FT2","CSO9FT8","CSO9FT7","EFACT1","EFACT3","EFACT9","EFACT7","EFACT2","EFACT5","EFACT6","EFACT4","C1CONT","JOBCONST","MANCONST","SELFDRIV","TECHCONS","C1CONTC","C1CONTH","C2CONT","C2CONTC","C2CONTH","CHILD616","CH616F","CHILDLT6","CHILDINH","C3H17M","FEMALE","JOBHOME","LD","MANDPRV","NOSPACE","PCNAV","SUPERVIS","UNAWARE","TSUPNO","F1NVEH","F2HWPLDI","F3HWPLMI","F4WPLHMI","F8AGEGR","F9HHSIZ","F10LT2","F10B6_15","F10B2_5","F11","F12FTWKE","F12PTWKE","F13DRLIC","F14HHLIC","F15EDUC","F16INCOM","DISTANCE","F7SEX","B4OCCUP"
"1",2,2,1,1,25,80,33.6,0,-0.71239,-0.89091,-0.85931,-0.95245,-2.09446,-1.73836,-0.82372,-1.53647,-1.43957,0.29382,-0.17029,-0.81187,0.37999,0.34558,0.28513,0.29087,-0.30649,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,2,7,10,15,3,2,0,0,0,2,2,0,1,1,3,5,14,1,5
"2",11,2,2,2,30,80,40,0,-0.58271,-0.87939,1.34235,-1.0702,-2.15474,-1.67525,2.46123,0.99113,0.11685,-0.2469,1.69834,-0.92618,-0.25572,0.20874,0.966,1.0409,-0.27537,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,10,15,15,6,2,0,0,0,2,1,1,1,1,3,3,20,2,2
"3",25,2,1,1,25,80,28.8,0,-0.62393,-0.90596,-0.19582,-0.92145,-1.44951,-1.46789,0.30715,0.74006,-0.00121,0.11827,-0.43828,-2.04501,0.03062,1.08815,-1.09699,0.64377,0.22159,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,2,6,10,15,6,2,0,0,0,2,1,1,1,1,3,4,12,2,2
"4",68,2,1,2,50,80,40.8,0,0.51749,-0.08541,0.04057,-0.00818,-1.06375,-0.33347,0.48583,-0.27048,-0.33557,-0.66382,0.53097,-1.76273,0.1618,0.0964,-0.04587,-0.40252,0.06014,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,9,0,0,0,1,0,0,2,17,25,25,3,4,1,0,1,2,1,0,1,1,4,3,34,2,2
"5",87,2,1,2,40,80,45,0,0.30433,0.46428,1.98929,0.54152,-0.34444,-0.12851,1.71947,0.36797,0.81035,-1.61032,0.77048,-1.5753,-1.16802,0.84452,0.23118,-1.05342,-0.7903,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,2,15,20,20,3,2,0,-1,0,2,1,0,1,1,4,3,30,2,2
"6",100,2,0,0,40,80,30,0,0.87517,0.70611,-2.13899,0.99455,0.06992,0.48163,-2.20221,-2.67822,-2.14101,0.34365,-0.28803,-0.63494,0.59763,-0.60692,0.52347,0.15356,0.23594,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,10,20,20,3,2,0,0,0,2,2,0,1,2,6,4,20,2,1
"7",111,2,1,1,45,80,34.7,0,0.43232,-0.766,1.13822,-0.75507,0.6299,-1.41632,-0.37244,0.02293,0.21175,-0.40106,0.63764,0.67346,-1.11047,0.70293,-0.34178,-0.7533,-0.98232,3,0,0,1,2,2,3,2,2,1,0,0,1,1,1,1,1,7,0,0,1,0,0,0,2,13,25,20,3,3,0,0,1,1,2,0,1,1,3,2,26,1,5
"8",120,2,0.5,0.5,25,80,24,0,-0.07735,-0.0842,1.62369,-0.39852,0.343,-0.44928,-0.58626,-1.03595,-0.00235,-1.46608,0.38931,0.06052,-1.1082,0.52948,-0.54301,-0.3744,0.02744,2,0,0,1,2,2,2,2,2,2,1,1,1,1,1,1,1,4,0,0,0,0,0,0,1,5,10,15,3,4,0,1,1,2,2,0,1,1,3,2,10,1,5
"9",121,2,1,1,14,80,34.3,0,1.09381,-1.52076,2.09438,-0.97651,-0.70537,-0.52614,1.81098,1.42817,0.43465,1.17308,1.37888,-1.06375,0.29833,0.33605,0.42616,0.92887,0.13901,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,8,0,0,0,0,0,0,2,4,7,7,3,4,1,1,0,2,2,0,1,1,6,4,8,2,2
"10",151,2,1,1,20,80,30,0,1.63529,0.73013,0.71035,-0.59508,0.65533,1.63097,0.13949,1.22558,0.34326,0.0442,0.15917,-0.85331,-0.00535,0.18945,1.19394,-0.74305,-0.77827,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,2,5,10,10,3,4,0,0,2,2,2,0,1,1,3,4,10,2,2
"11",154,2,1.5,3,30,80,60,20,-0.97451,-1.60711,0.09798,-0.98906,-0.57577,-1.57086,-0.60306,0.41023,-1.3129,-0.20556,1.0459,-1.21166,-0.16719,0.66545,-0.07552,0.13234,0.09994,2,0,0,1,0,0,2,2,0,2,0,0,0,0,1,0,1,9,0,0,0,1,0,0,3,15,15,15,5,2,0,0,0,2,1,0,1,1,4,5,30,2,2
