age,job,marital,housing,contact,month,day_of_week,campaign,pdays,previous,poutcome,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
30,2,2,3,1,7,1,2,999,0,2,92.893,-46.2,1.313,5099.1,0
39,8,3,1,2,7,1,4,999,0,2,93.994,-36.4,4.855,5191,0
25,8,2,3,2,5,5,1,999,0,2,94.465,-41.8,4.962,5228.1,0
38,8,2,2,2,5,1,3,999,0,2,94.465,-41.8,4.959,5228.1,0
47,1,2,3,1,8,2,1,999,0,2,93.2,-42,4.191,5195.8,0
32,8,3,1,1,10,3,3,999,2,1,94.199,-37.5,0.884,4963.6,0
32,1,3,3,1,10,2,4,999,0,2,94.199,-37.5,0.879,4963.6,0
41,3,2,3,1,8,2,2,999,0,2,93.2,-42,4.191,5195.8,0
31,8,1,1,1,8,4,1,999,1,1,93.2,-42,4.153,5195.8,0
35,2,2,1,2,7,3,1,999,0,2,93.994,-36.4,4.855,5191,0
25,8,3,3,1,4,3,1,999,0,2,93.918,-42.7,4.958,5228.1,0
36,7,3,1,1,4,3,1,999,0,2,93.918,-42.7,4.968,5228.1,0
36,1,2,1,2,7,5,2,999,0,2,93.994,-36.4,4.859,5191,0
47,2,2,3,2,5,3,2,999,0,2,94.465,-41.8,4.958,5228.1,0
29,1,3,1,1,7,1,2,999,0,2,92.893,-46.2,1.313,5099.1,0
27,8,3,1,1,4,5,2,999,0,2,93.918,-42.7,4.963,5228.1,0
44,1,1,1,1,4,5,6,999,0,2,93.918,-42.7,4.957,5228.1,0
46,1,1,3,2,4,2,4,999,0,2,93.918,-42.7,4.962,5228.1,0
45,3,2,3,1,2,2,2,999,0,2,93.444,-36.1,4.965,5228.1,0
50,2,2,1,1,4,4,1,999,0,2,93.918,-42.7,4.961,5228.1,1
55,8,2,3,1,4,4,6,999,0,2,93.918,-42.7,4.962,5228.1,0
39,10,1,1,1,6,2,1,12,2,3,93.369,-34.8,0.639,5008.7,1
29,10,3,3,1,2,5,3,999,0,2,93.444,-36.1,4.967,5228.1,0
40,5,2,1,1,2,5,1,999,0,2,93.444,-36.1,4.965,5228.1,0
44,10,2,3,2,7,1,7,999,0,2,93.994,-36.4,4.864,5191,0
38,10,2,3,1,2,2,1,999,0,2,93.444,-36.1,4.965,5228.1,1
36,10,1,1,2,7,5,1,999,0,2,93.994,-36.4,4.856,5191,0
28,2,2,1,1,7,2,2,999,1,1,92.893,-46.2,1.299,5099.1,0
